Country;CommodityCode;Grandeza;CÓDIGO DATAGRO
Angola;4243000;BeginningStocks;PAO_AO
Argentina;410000;BeginningStocks;WHT_AR
Argentina;440000;BeginningStocks;COR_AR
Argentina;813100;BeginningStocks;SBM_AR
Argentina;813200;BeginningStocks;PNM_AR
Argentina;813500;BeginningStocks;SFM_AR
Argentina;2221000;BeginningStocks;PNS_AR
Argentina;2222000;BeginningStocks;SBS_AR
Argentina;2223000;BeginningStocks;CTS_AR
Argentina;2224000;BeginningStocks;SFS_AR
Argentina;2226000;BeginningStocks;RPS_AR
Argentina;4232000;BeginningStocks;SBO_AR
Argentina;4233000;BeginningStocks;CTO_AR
Argentina;4234000;BeginningStocks;PNO_AR
Argentina;4235000;BeginningStocks;OLO_AR
Argentina;4236000;BeginningStocks;SFO_AR
Argentina;4239100;BeginningStocks;RPO_AR
Armenia;410000;BeginningStocks;WHT_AM
Australia;410000;BeginningStocks;WHT_AU
Australia;440000;BeginningStocks;COR_AU
Australia;813100;BeginningStocks;SBM_AU
Australia;813300;BeginningStocks;CTM_AU
Australia;813600;BeginningStocks;RPM_AU
Australia;2221000;BeginningStocks;PNS_AU
Australia;2222000;BeginningStocks;SBS_AU
Australia;2223000;BeginningStocks;CTS_AU
Australia;2224000;BeginningStocks;SFS_AU
Australia;2226000;BeginningStocks;RPS_AU
Australia;4232000;BeginningStocks;SBO_AU
Australia;4233000;BeginningStocks;CTO_AU
Australia;4235000;BeginningStocks;OLO_AU
Australia;4236000;BeginningStocks;SFO_AU
Australia;4239100;BeginningStocks;RPO_AU
Australia;4243000;BeginningStocks;PAO_AU
Azerbaijan;410000;BeginningStocks;WHT_AZ
Azerbaijan;440000;BeginningStocks;COR_AZ
Azerbaijan;2223000;BeginningStocks;CTS_AZ
Bahrain;410000;BeginningStocks;WHT_BH
Bangladesh;410000;BeginningStocks;WHT_BD
Bangladesh;440000;BeginningStocks;COR_BD
Bangladesh;813100;BeginningStocks;SBM_BD
Bangladesh;813600;BeginningStocks;RPM_BD
Bangladesh;813700;BeginningStocks;CPM_BD
Bangladesh;2221000;BeginningStocks;PNS_BD
Bangladesh;2222000;BeginningStocks;SBS_BD
Bangladesh;2226000;BeginningStocks;RPS_BD
Bangladesh;4232000;BeginningStocks;SBO_BD
Bangladesh;4239100;BeginningStocks;RPO_BD
Bangladesh;4242000;BeginningStocks;CCO_BD
Bangladesh;4243000;BeginningStocks;PAO_BD
Barbados;2222000;BeginningStocks;SBS_BB
Barbados;4232000;BeginningStocks;SBO_BB
Belarus;410000;BeginningStocks;WHT_BY
Belarus;440000;BeginningStocks;COR_BY
Belarus;813100;BeginningStocks;SBM_BY
Belarus;813500;BeginningStocks;SFM_BY
Belarus;813600;BeginningStocks;RPM_BY
Belarus;2222000;BeginningStocks;SBS_BY
Belarus;2226000;BeginningStocks;RPS_BY
Belarus;4232000;BeginningStocks;SBO_BY
Belarus;4236000;BeginningStocks;SFO_BY
Belarus;4239100;BeginningStocks;RPO_BY
Benin;440000;BeginningStocks;COR_BJ
Benin;2221000;BeginningStocks;PNS_BJ
Benin;2222000;BeginningStocks;SBS_BJ
Benin;2223000;BeginningStocks;CTS_BJ
Benin;4243000;BeginningStocks;PAO_BJ
Bolivia;410000;BeginningStocks;WHT_BO
Bolivia;440000;BeginningStocks;COR_BO
Bolivia;813100;BeginningStocks;SBM_BO
Bolivia;813500;BeginningStocks;SFM_BO
Bolivia;2222000;BeginningStocks;SBS_BO
Bolivia;2224000;BeginningStocks;SFS_BO
Bolivia;4232000;BeginningStocks;SBO_BO
Bolivia;4236000;BeginningStocks;SFO_BO
Bosnia and Herzegovina;410000;BeginningStocks;WHT_BA
