CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO,NO_NCM_POR,SG_UNID,NO_PAIS,NO_UF,NO_REGIAO,NO_VIA,NO_URF
2016,9,10019900,10,63,PE,1,417800,13000000,13000000,2806143,267800,1811,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Argentina,Pernambuco,REGIAO NORDESTE,MARITIMA,0417800 - PORTO DE SUAPE
2016,11,10019900,10,586,RS,7,910600,1250000,1250000,231500,23700,43,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Paraguai,Rio Grande do Sul,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,3,10019900,10,586,SC,7,910600,1032000,1032000,171080,14940,0,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Paraguai,Santa Catarina,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,1,10019900,10,586,SC,7,910600,4971860,4971860,836591,63358,0,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Paraguai,Santa Catarina,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,2,11010010,10,386,RJ,1,717600,19200,19200,10193,433,0,Farinha de trigo,KGL  ,Itália,Rio de Janeiro,REGIAO SUDESTE,MARITIMA,0717600 - PORTO DO RIO DE JANEIRO
2016,7,11010010,10,586,MS,7,145100,352000,352000,103240,7040,0,Farinha de trigo,KGL  ,Paraguai,Mato Grosso do Sul,REGIAO CENTRO OESTE,RODOVIARIA,0145100 - MUNDO NOVO
2016,11,11010010,10,63,GO,7,910600,224000,224000,72772,7965,0,Farinha de trigo,KGL  ,Argentina,Goiás,REGIAO CENTRO OESTE,RODOVIARIA,0910600 - FOZ DO IGUACU
2016,1,10019900,10,586,RS,7,910652,31620,31620,4806,411,0,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Paraguai,Rio Grande do Sul,REGIAO SUL,RODOVIARIA,0910652 - SANTA HELENA
2016,2,15079090,21,249,SP,1,817800,14,14399,50599,2296,46,Outros óleos de soja,TML  ,Estados Unidos,São Paulo,REGIAO SUDESTE,MARITIMA,0817800 - PORTO DE SANTOS
2016,2,11010010,10,63,AC,7,910600,28000,28000,7420,800,0,Farinha de trigo,KGL  ,Argentina,Acre,REGIAO NORTE,RODOVIARIA,0910600 - FOZ DO IGUACU
