Country;CommodityCode;Attribute
China;4232000.0;BeginningStocks
China;4239100.0;BeginningStocks
China;4243000.0;BeginningStocks
Colombia;410000.0;BeginningStocks
Colombia;440000.0;BeginningStocks
Colombia;813100.0;BeginningStocks
Colombia;814200.0;BeginningStocks
Colombia;2222000.0;BeginningStocks
Colombia;4232000.0;BeginningStocks
Colombia;4243000.0;BeginningStocks
Colombia;4244000.0;BeginningStocks
Congo (Brazzaville);410000.0;BeginningStocks
Congo (Kinshasa);410000.0;BeginningStocks
Congo (Kinshasa);440000.0;BeginningStocks
Congo (Kinshasa);2232000.0;BeginningStocks
Congo (Kinshasa);4243000.0;BeginningStocks
Costa Rica;410000.0;BeginningStocks
Costa Rica;440000.0;BeginningStocks
Costa Rica;813100.0;BeginningStocks
Costa Rica;2222000.0;BeginningStocks
Costa Rica;4232000.0;BeginningStocks
Costa Rica;4243000.0;BeginningStocks
Costa Rica;4244000.0;BeginningStocks
Cote d'Ivoire;410000.0;BeginningStocks
Cote d'Ivoire;440000.0;BeginningStocks
Cote d'Ivoire;813100.0;BeginningStocks
Cote d'Ivoire;813300.0;BeginningStocks
Cote d'Ivoire;813800.0;BeginningStocks
Cote d'Ivoire;2221000.0;BeginningStocks
Cote d'Ivoire;2223000.0;BeginningStocks
Cote d'Ivoire;2232000.0;BeginningStocks
Cote d'Ivoire;4233000.0;BeginningStocks
Cote d'Ivoire;4242000.0;BeginningStocks
Cote d'Ivoire;4243000.0;BeginningStocks
Cote d'Ivoire;4244000.0;BeginningStocks
Cuba;440000.0;BeginningStocks
Cuba;813100.0;BeginningStocks
Cuba;4232000.0;BeginningStocks
Djibouti;4243000.0;BeginningStocks
Dominican Republic;410000.0;BeginningStocks
Dominican Republic;440000.0;BeginningStocks
Dominican Republic;813100.0;BeginningStocks
Dominican Republic;4232000.0;BeginningStocks
Dominican Republic;4243000.0;BeginningStocks
Ecuador;410000.0;BeginningStocks
Ecuador;440000.0;BeginningStocks
Ecuador;813100.0;BeginningStocks
Ecuador;814200.0;BeginningStocks
Ecuador;2232000.0;BeginningStocks
Ecuador;4232000.0;BeginningStocks
Ecuador;4243000.0;BeginningStocks
Ecuador;4244000.0;BeginningStocks
Egypt;410000.0;BeginningStocks
Egypt;440000.0;BeginningStocks
Egypt;813100.0;BeginningStocks
Egypt;813500.0;BeginningStocks
Egypt;2221000.0;BeginningStocks
Egypt;2222000.0;BeginningStocks
Egypt;2223000.0;BeginningStocks
Egypt;2224000.0;BeginningStocks
Egypt;4232000.0;BeginningStocks
Egypt;4236000.0;BeginningStocks
Egypt;4243000.0;BeginningStocks
El Salvador;410000.0;BeginningStocks
El Salvador;440000.0;BeginningStocks
El Salvador;813100.0;BeginningStocks
El Salvador;4232000.0;BeginningStocks
El Salvador;4243000.0;BeginningStocks
Eritrea;410000.0;BeginningStocks
Ethiopia;410000.0;BeginningStocks
Ethiopia;440000.0;BeginningStocks
Ethiopia;2222000.0;BeginningStocks
European Union;410000.0;BeginningStocks
European Union;440000.0;BeginningStocks
European Union;813100.0;BeginningStocks
European Union;813500.0;BeginningStocks
European Union;813600.0;BeginningStocks
European Union;813800.0;BeginningStocks
European Union;2221000.0;BeginningStocks
European Union;2222000.0;BeginningStocks
European Union;2223000.0;BeginningStocks
European Union;2224000.0;BeginningStocks
European Union;2226000.0;BeginningStocks
European Union;4232000.0;BeginningStocks
European Union;4234000.0;BeginningStocks
European Union;4235000.0;BeginningStocks
European Union;4236000.0;BeginningStocks
European Union;4239100.0;BeginningStocks
European Union;4242000.0;BeginningStocks
European Union;4243000.0;BeginningStocks
European Union;4244000.0;BeginningStocks
Faroe Islands;814200.0;BeginningStocks
Fiji;410000.0;BeginningStocks
Gambia, The;2221000.0;BeginningStocks
Gambia, The;4234000.0;BeginningStocks
Georgia;410000.0;BeginningStocks
Georgia;440000.0;BeginningStocks
Georgia;813100.0;BeginningStocks
Ghana;410000.0;BeginningStocks
Ghana;440000.0;BeginningStocks
Ghana;813100.0;BeginningStocks
Ghana;813800.0;BeginningStocks
Ghana;2221000.0;BeginningStocks
Ghana;2222000.0;BeginningStocks
Ghana;4232000.0;BeginningStocks
Ghana;4243000.0;BeginningStocks
Guatemala;410000.0;BeginningStocks
Guatemala;440000.0;BeginningStocks
Guatemala;813100.0;BeginningStocks
Guatemala;813200.0;BeginningStocks
Guatemala;813800.0;BeginningStocks
Guatemala;2221000.0;BeginningStocks
Guatemala;2222000.0;BeginningStocks
Guatemala;4232000.0;BeginningStocks
Guatemala;4234000.0;BeginningStocks
Guatemala;4236000.0;BeginningStocks
